Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Diego Laxalt,Left-Back,25,18.0,Uruguay,Genoa,Serie A,AC Milan,Serie A,2806.0,3.0,3.0,2.0,0.0,1.5,2.2,126.0,91.0,80,178,68,Left,3,4,2,High/High,88.0,63.0,74.0,78.0,62.0,71.0,1.5
18,Mohamed Elyounoussi,Left Winger,23,8.5,Norway,FC Basel,Super League,Southampton,Premier League,2650.0,11.0,6.0,3.0,0.0,,,,,85,178,70,Right,4,4,1,High/Medium,82.0,72.0,76.0,80.0,39.0,67.0,
18,Karl Toko Ekambi,Centre-Forward,25,18.0,Cameroon,Angers SCO,Ligue 1,Villarreal,LaLiga,3040.0,17.0,6.0,4.0,0.0,17.1,5.8,138.0,76.0,81,185,74,Right,4,3,2,High/Medium,84.0,79.0,68.0,80.0,27.0,69.0,-0.10000000000000142
18,Xherdan Shaqiri,Attacking Midfield,26,18.0,Switzerland,Stoke City,Championship,Liverpool,Premier League,3039.0,8.0,7.0,5.0,0.0,5.0,7.1,81.0,161.0,82,169,72,Left,4,5,3,Medium/Medium,80.0,77.0,80.0,85.0,46.0,70.0,3.0
18,Alban Lafont,Goalkeeper,19,18.0,France,Toulouse,Ligue 1,Fiorentina,Serie A,3420.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,3.0,89,193,82,Right,3,1,2,Medium/Medium,,,,,,,-0.1
18,Willem Geubbels,Centre-Forward,16,6.0,France,Olympique Lyon,Ligue 1,Monaco,Ligue 1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86,185,72,Right,3,3,1,Medium/Low,84.0,62.0,53.0,64.0,26.0,53.0,0.0
18,Gerard Moreno,Centre-Forward,26,20.0,Spain,Espanyol,LaLiga,Villarreal,LaLiga,3412.0,16.0,1.0,4.0,0.0,15.5,4.2,71.0,139.0,85,180,77,Left,4,4,1,High/Medium,79.0,81.0,66.0,78.0,45.0,69.0,0.5
18,Amadou Haidara,Central Midfield,20,20.0,Mali,RB Salzburg,Bundesliga,RB Leipzig,Bundesliga,1817.0,3.0,3.0,4.0,0.0,,,,,84,174,67,Right,2,3,1,Medium/Medium,76.0,68.0,71.0,74.0,64.0,71.0,
18,Sokratis Papastathopoulos,Centre-Back,30,20.0,Greece,Bor. Dortmund,Bundesliga,Arsenal,Premier League,2373.0,2.0,0.0,5.0,1.0,1.0,0.2,27.0,115.0,84,186,85,Right,2,2,3,Medium/High,69.0,51.0,50.0,60.0,84.0,82.0,1.0
18,Jack Wilshere,Central Midfield,26,20.0,England,Arsenal,Premier League,West Ham,Premier League,1193.0,1.0,3.0,6.0,0.0,1.1,2.6,62.0,108.0,82,172,68,Left,2,4,3,Medium/Medium,70.0,68.0,80.0,81.0,63.0,69.0,-0.10000000000000009
